Student 1,Student 2,Plag %
1,2,11.89655172413793
1,5,5.263157894736842
2,3,5.401563610518834
2,7,5.655526992287918
3,4,8.981380065717415
3,5,5.62364816149964
3,6,5.295315682281059
3,7,12.411626080125687
4,6,5.071315372424722
4,7,11.299435028248588
5,6,10.368663594470046
5,7,7.8125
6,7,10.727496917385944
